"      0000121100    2411   5.9  Mother, Jugs & Speed (1976)"
"      1111110001     576   4.8  Mother, May I Sleep with Danger? (1996) (TV)"
      0000203000      33   5.7  Mothers Cry (1930)
      0000012211  177339   7.5  RoboCop (1987)
      0000012102     116   7.1  RoboCop (1988) (VG)
      0000122100  179548   6.2  RoboCop (2014)
      1000011002      55   6.6  RoboCop vs Terminator (2006) (V)
      2111000000     672   3.0  Robocroc (2013) (TV)
      1011100001     646   4.2  Robodoc (2009)
      1001110001     879   4.8  Robosapien: Rebooted (2013)
      2111000000     303   3.6  Roboshark (2015) (TV)
      0000013200   51627   7.1  Robot & Frank (2012)
      1000110002      33   6.2  Robot Boy (2003)
      0000002311     353   7.7  Robot Chicken DC Comics Special II: Villains in Paradise (2014) (TV)
      0000002311     956   7.9  Robot Chicken: DC Comics Special (2012) (TV)
      0000001222    5784   8.2  Robot Chicken: Star Wars (2007) (TV)
      0000001322    2937   8.2  Robot Chicken: Star Wars Episode II (2008) (TV)
      0000001312    2701   8.1  Robot Chicken: Star Wars Episode III (2010) (TV)
      5200000000    1111   2.1  Robot Holocaust (1986)
      0001111000    4238   5.3  Robot Jox (1989)
      3110000000    3422   2.9  Robot Monster (1953)
      3000000001     227   3.6  Robot Ninja (1989)
      0011210000    4584   4.7  Robot Overlords (2014)
      0000002211   96028   7.6  Star Trek: First Contact (1996)
      0000122100   59118   6.6  Star Trek: Generations (1994)
      0000012201     393   7.1  Star Trek: Generations (1997) (VG)
      0000011101     176   6.1  Star Trek: Horizon (2016)
      0000122100   55614   6.4  Star Trek: Insurrection (1998)
      0000001113      85   7.1  Star Trek: Klingon (1996) (VG)
      1000011003     205   6.5  Star Trek: Legacy (2006) (VG)
      0000122100   57136   6.4  Star Trek: Nemesis (2002)
      0000011101     924   6.4  Star Trek: Of Gods and Men (2007) (V)
      2000000012      24   6.0  Star Trek: Phoenix - No Other Medicine (2009)
      0.00001014      43   7.9  Star Trek: Shattered Universe (2003) (VG)
      0.00001213     139   8.1  Star Trek: Starfleet Academy (1997) (VG)
      0000001113      35   7.8  Star Trek: Starfleet Command (1999) (VG)
